iter	Passed	Remaining
407	6029	1359
408	6040	1344
409	6052	1328
410	6064	1313
411	6082	1299
412	6100	1285
413	6115	1270
414	6140	1257
415	6157	1243
416	6173	1228
417	6187	1213
418	6216	1201
419	6230	1186
420	6242	1171
421	6265	1158
422	6286	1144
423	6312	1131
424	6340	1118
425	6360	1104
426	6390	1092
427	6408	1078
428	6434	1064
429	6452	1050
430	6480	1037
431	6506	1024
432	6525	1009
433	6552	996
434	6603	986
435	6653	976
436	6671	961
437	6688	946
438	6707	932
439	6732	918
440	6747	902
441	6759	886
442	6772	871
443	6791	856
444	6812	842
445	6831	827
446	6840	811
447	6850	795
448	6862	779
449	6872	763
450	6890	748
451	6911	733
452	6927	718
453	6942	703
454	6953	687
455	6965	672
456	6979	656
457	6991	641
458	7013	626
459	7028	611
460	7040	595
461	7053	580
462	7062	564
463	7074	548
464	7084	533
465	7094	517
466	7106	502
467	7115	486
468	7128	471
469	7140	455
470	7151	440
471	7161	424
472	7171	409
473	7183	394
474	7218	379
475	7234	364
476	7250	349
477	7266	334
478	7283	319
479	7313	304
480	7340	289
481	7365	275
482	7383	259
483	7399	244
484	7416	229
485	7430	214
486	7451	198
487	7462	183
488	7472	168
489	7486	152
490	7497	137
491	7506	122
492	7517	106
493	7528	91
494	7539	76
495	7549	60
496	7558	45
497	7570	30
498	7583	15
499	7595	0
